status_id,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7331091005_10154092836036006,563,1653,6952,103,26,347,5,16
7331091005_10154092831906006,517,742,4383,28,79,457,21,214
7331091005_10154092746311006,111,129,775,8,7,40,0,5
7331091005_10154092729066006,14,29,262,2,0,1,0,0
7331091005_10154092659271006,2296,23109,21491,336,59,3949,6,70
7331091005_10154092649321006,135,187,1449,11,78,18,1,0
7331091005_10154092578651006,49,52,686,3,2,4,0,1
7331091005_10154092570346006,1467,2849,18481,356,148,1084,31,121
7331091005_10154092537701006,200,187,4262,16,40,123,20,8
7331091005_10154092399171006,53,65,817,3,13,6,0,2
7331091005_10154092324256006,147,207,2041,8,56,33,3,2
7331091005_10154092288046006,61,47,555,0,27,9,147,3
7331091005_10154092287086006,524,1532,5157,96,14,76,1,6
7331091005_10154092235631006,213,142,901,10,3,34,19,2
7331091005_10154092185811006,464,797,5516,44,16,378,2,96
7331091005_10154092121761006,130,260,1540,5,26,5,3,1
7331091005_10154092107076006,1557,2906,20756,62,156,1920,31,6
7331091005_10154092009131006,283,1113,4358,35,5,419,0,0
7331091005_10154091902151006,480,1990,10969,237,167,28,2,7
7331091005_10154091216051006,64207,386365,153794,1907,5076,12330,40,95
7331091005_10154091043111006,2786,10022,22173,523,67,1889,6,55
7331091005_10154091024091006,253,475,5942,127,10,251,1,11
7331091005_10154090988901006,460,4438,13750,303,176,35,4,15
7331091005_10154090982246006,412,1962,9849,285,61,34,1,10
7331091005_10154090975101006,291,531,9576,91,42,227,19,36
7331091005_10154090970831006,373,937,4645,48,5,752,2,8
7331091005_10154090911881006,8628,22055,24643,259,30,3509,3,15
7331091005_10154090889096006,7831,61624,48636,936,121,3485,5,48
7331091005_10154090852186006,1901,15024,46840,867,840,168,90,189
7331091005_10154090783471006,929,2545,15969,111,131,1551,553,67
7331091005_10154090707846006,436,3242,10586,143,31,624,0,16
7331091005_10154090544786006,654,3674,39575,124,1104,876,8,6
7331091005_10154090531296006,511,976,10824,25,138,729,16,39
7331091005_10154090464861006,252,2309,14133,130,38,453,1,1
7331091005_10154090416686006,293,311,3013,27,6,105,1,0
